id,name,age,gender,occupation,prefecture,lat,lng,income_jpy,wfh,n_purchases_today,spend_today_jpy
0,池田 綾,55,女,会社員,千葉県,35.86587,139.96803,5770000,0,5,10028
1,後藤 翼,60,男,会社員,茨城県,35.90928,140.02283,5000000,0,2,2522
2,池田 智也,37,男,会社員,埼玉県,35.89446,139.61869,3830000,0,5,20546
3,渡辺 京子,61,女,看護師,栃木県,36.3807,139.74099,4090000,0,2,6359
4,橋本 杏,53,女,主婦・主夫,千葉県,35.65213,139.8928,1690000,0,4,25156
5,藤田 凛,54,女,工場勤務,神奈川県,35.48866,139.6457,3130000,0,5,11115
6,斎藤 芽依,78,女,退職,埼玉県,35.91498,139.49622,2010000,0,2,2311
7,鈴木 美穂,64,女,会社員,神奈川県,35.51887,139.68943,3750000,0,2,2522
8,佐々木 蓮,71,男,パート,群馬県,36.2586,138.9168,1310000,0,2,718
9,伊藤 陽翔,46,男,主婦・主夫,埼玉県,35.79896,139.46498,1090000,0,2,4940
10,清水 悦子,44,女,会社員,東京都市部,35.80265,139.28736,5350000,0,6,9761
11,加藤 ハル,64,女,主婦・主夫,神奈川県,35.5512,139.36455,980000,0,2,5358
12,鈴木 翼,57,男,会社員,東京都23区,35.6664,139.64907,9340000,0,4,54584
13,長谷川 彩花,29,女,看護師,埼玉県,35.87969,139.63527,2190000,0,4,11731
14,藤田 智也,33,男,ITエンジニア,埼玉県,35.91966,139.48479,7870000,1,6,58424
15,山本 翼,42,男,パート,東京都23区,35.74451,139.85066,2270000,0,4,10961
16,山口 貴志,57,男,会社員,栃木県,36.57519,139.75839,6560000,0,4,10582
17,山崎 貴志,59,男,ITエンジニア,千葉県,35.65436,139.9099,6610000,1,6,14942
18,吉田 千尋,60,女,会社員,神奈川県,35.57135,139.5878,4480000,0,2,2768
19,山口 亮,59,男,会社員,神奈川県,35.53398,139.4537,3750000,0,5,9985
20,山口 達也,79,男,飲食店,茨城県,36.32043,139.96571,2070000,0,2,9980
21,藤田 陽翔,50,男,公務員,茨城県,36.08283,140.12236,8170000,0,5,31778
22,田中 樹,19,男,大学生,埼玉県,35.80325,139.47282,800000,0,2,8383
23,田中 彩花,37,女,工場勤務,東京都23区,35.70848,139.85745,5190000,0,4,10590
24,吉田 陽菜,69,女,退職,東京都市部,35.67199,139.5687,2590000,0,2,4125
25,井上 節子,31,女,販売員,千葉県,35.64623,139.89094,2250000,0,4,15471
26,山田 結衣,30,女,主婦・主夫,千葉県,35.68863,139.96545,1390000,0,2,5475
