minute,hh:mm,name,age,gender,occupation,prefecture,income_jpy,channel,category,sku,price_jpy,impulse,reason
430,07:10,林 桜,55,女,会社員,千葉県,5770000,Uniqlo online,アパレル,感動パンツ ウルトラライト ストレッチ ストレート (ブラック 32inch),3990,0,朝の準備中ふと / 通勤新調
455,07:35,林 桜,55,女,会社員,千葉県,5770000,Amazon,コーヒー,STARBUCKS ハウス ブレンド ホール 250g,1321,1,通勤中ふと思い出して / 切らした
1200,20:00,林 桜,55,女,会社員,千葉県,5770000,Uniqlo online,アパレル,リネンブレンド オープンカラー シャツ 半袖 (オフホワイト L),3990,1,夜のリラックス中に / 週末カジュアル
1235,20:35,林 桜,55,女,会社員,千葉県,5770000,Uniqlo online,アパレル,リネンブレンド オープンカラー シャツ 半袖 (オフホワイト L),3990,1,夜のリラックス中に / 安心のリピート
1305,21:45,林 桜,55,女,会社員,千葉県,5770000,Uniqlo online,アパレル,ヒートテック クルーネックT 極暖 (グレー M),1990,1,夜のリラックス中に / 冬支度
1120,18:40,佐々木 陽翔,47,男,主婦・主夫,東京都市部,1440000,Uniqlo online,アパレル,感動パンツ ウルトラライト ストレッチ ストレート (ブラック 32inch),3990,0,夕食後にカートを処理 / 通勤新調
1375,22:55,佐々木 陽翔,47,男,主婦・主夫,東京都市部,1440000,楽天市場,化粧品,ETUDE ティアアイライナー 限定色,1609,0,家族の話題から / 新作
1070,17:50,森 綾,19,女,販売員,神奈川県,2220000,Amazon,日用品,アタック ZERO 抗菌プラス 詰替 720g,448,0,勤務中こっそり / ストック切れ
1250,20:50,森 綾,19,女,販売員,神奈川県,2220000,SHEIN,雑貨,SHEIN シルバーチェーンネックレス 3点セット,652,1,夜のリラックス中に / Y2Kコーデ
1270,21:10,森 綾,19,女,販売員,神奈川県,2220000,Uniqlo online,アパレル,感動パンツ ウルトラライト ストレッチ ストレート (ブラック 32inch),3990,1,夜のリラックス中に / 通勤新調
1295,21:35,森 綾,19,女,販売員,神奈川県,2220000,SHEIN,雑貨,SHEIN シルバーチェーンネックレス 3点セット,585,1,夜のリラックス中に / Y2Kコーデ
1135,18:55,佐々木 綾,32,女,主婦・主夫,東京都23区,1210000,メチャカリ,アパレル,メチャカリ ベーシックプラン 月額,3278,0,夕食後にカートを処理 / サブスクで色々試したい
1145,19:05,佐々木 綾,32,女,主婦・主夫,東京都23区,1210000,iHerb,食品,California Gold ナッツミックス 907g,2795,0,夕食後にカートを処理 / 間食用
1315,21:55,清水 雄太,76,男,パート,千葉県,1800000,Yahoo!ショッピング,日用品,レノア 本格消臭 詰替 1320ml,909,1,夜のリラックス中に / PayPayキャンペーン
1055,17:35,木村 克彦,55,男,会社員,東京都23区,5000000,Uniqlo online,アパレル,エアリズム コットン クルーネックT 半袖 (ネイビー L),1290,0,勤務中こっそり / 夏前リピート
1185,19:45,木村 克彦,55,男,会社員,東京都23区,5000000,MUJI passport,日用品,無印良品 化粧水 敏感肌用 高保湿 200ml,690,0,夕食後にカートを処理 / リピート
1230,20:30,木村 克彦,55,男,会社員,東京都23区,5000000,Amazon,電子書籍,Kindle 三体III 死神永生 上,1820,1,夜のリラックス中に / 話題のSF
1295,21:35,木村 克彦,55,男,会社員,東京都23区,5000000,honto,電子書籍,hontoポイント 1000円分,1000,1,夜のリラックス中に / 次回用ポイント購入
1370,22:50,木村 克彦,55,男,会社員,東京都23区,5000000,楽天市場,日用品,除菌できるウェットティッシュ 100枚 x 8パック,1733,1,寝る前に思い立って / ポイント10倍
675,11:15,石川 智也,53,男,経営者・役員,東京都市部,19050000,楽天市場,日用品,除菌できるウェットティッシュ 100枚 x 8パック,1547,0,勤務中こっそり / ポイント10倍
970,16:10,石川 智也,53,男,経営者・役員,東京都市部,19050000,Yahoo!ショッピング,日用品,除菌洗剤 業務用 4L,3208,0,勤務中こっそり / PayPay祭
1125,18:45,石川 智也,53,男,経営者・役員,東京都市部,19050000,Amazon,コーヒー,UCC ザ ブレンド 114 レギュラーコーヒー 360g x 6,4553,0,夕食後にカートを処理 / 在宅用ストック
1300,21:40,石川 智也,53,男,経営者・役員,東京都市部,19050000,BUYMA,アパレル,【正規品】POLO Ralph Lauren ケーブルニット 紺 M,28752,1,夜のリラックス中に / クラシック
1310,21:50,石川 智也,53,男,経営者・役員,東京都市部,19050000,楽天市場,食品,北海道産 ホタテ貝柱 1kg 訳あり,7408,1,夜のリラックス中に / ポイント10倍
390,06:30,佐藤 凛,51,女,看護師,埼玉県,5810000,メルカリ,アパレル,MUJI 90s ヴィンテージ チノパン 31inch,3227,0,朝の準備中ふと / 古着趣味
415,06:55,佐藤 凛,51,女,看護師,埼玉県,5810000,MUJI passport,家具,無印良品 ポリエステル 綿フランネル こたつ布団,9990,0,朝の準備中ふと / 冬支度
965,16:05,佐藤 凛,51,女,看護師,埼玉県,5810000,MUJI passport,アパレル,無印良品 オーガニックコットン Vネック 半袖T 白 M,1490,0,勤務中こっそり / 夏定番
1390,23:10,佐藤 凛,51,女,看護師,埼玉県,5810000,Uniqlo online,アパレル,ヒートテック クルーネックT 極暖 (グレー M),1990,1,寝る前に思い立って / 冬支度
445,07:25,松本 孝雄,38,男,会社員,神奈川県,6870000,honto,書籍,THE THREE-BODY PROBLEM (English),2980,0,朝の準備中ふと / 原書チャレンジ
770,12:50,松本 孝雄,38,男,会社員,神奈川県,6870000,Uniqlo online,アパレル,ヒートテック クルーネックT 極暖 (グレー M),1990,0,ランチ食べながら / 冬支度
940,15:40,松本 孝雄,38,男,会社員,神奈川県,6870000,Uniqlo online,アパレル,エアリズム コットン クルーネックT 半袖 (ネイビー L),1290,0,勤務中こっそり / 夏前リピート
1080,18:00,松本 孝雄,38,男,会社員,神奈川県,6870000,Yahoo!ショッピング,日用品,レノア 本格消臭 詰替 1320ml,1003,1,通勤中ふと思い出して / PayPayキャンペーン
1110,18:30,松本 孝雄,38,男,会社員,神奈川県,6870000,Uniqlo online,アパレル,リネンブレンド オープンカラー シャツ 半袖 (オフホワイト L),3990,1,通勤中ふと思い出して / 週末カジュアル
1130,18:50,松本 孝雄,38,男,会社員,神奈川県,6870000,Yahoo!ショッピング,日用品,レノア 本格消臭 詰替 1320ml,965,0,夕食後にカートを処理 / 安心のリピート
1140,19:00,松本 孝雄,38,男,会社員,神奈川県,6870000,Amazon,日用品,LION クリニカ アドバンテージ ハミガキ 130g x 3,1166,0,夕食後にカートを処理 / まとめ買い
915,15:15,長谷川 大翔,51,男,会社員,東京都23区,5970000,honto,書籍,夜は短し歩けよ乙女 (角川文庫),770,0,勤務中こっそり / 安心のリピート
1085,18:05,長谷川 大翔,51,男,会社員,東京都23区,5970000,Uniqlo online,アパレル,リネンブレンド オープンカラー シャツ 半袖 (オフホワイト L),3990,1,通勤中ふと思い出して / 週末カジュアル
1405,23:25,長谷川 大翔,51,男,会社員,東京都23区,5970000,Yahoo!ショッピング,日用品,レノア 本格消臭 詰替 1320ml,892,1,寝る前に思い立って / PayPayキャンペーン
490,08:10,橋本 節子,74,女,退職,千葉県,1950000,楽天市場,化粧品,KOSE 雪肌精 化粧水 200ml,2938,1,朝のゆっくり時間に / 安心のリピート
885,14:45,橋本 節子,74,女,退職,千葉県,1950000,MUJI passport,日用品,無印良品 アロマオイル ラベンダー 10ml,1190,1,午後のくつろぎ中に / 安心のリピート
1185,19:45,橋本 節子,74,女,退職,千葉県,1950000,Amazon,コーヒー,猿田彦珈琲 大吉ブレンド ドリップバッグ 10個,1891,0,夕食後にカートを処理 / 気分転換
1120,18:40,長谷川 彩,71,女,退職,東京都23区,2440000,MUJI passport,アパレル,無印良品 縦横ストレッチ 細身パンツ 黒 32inch,3990,0,夕食後にカートを処理 / 通勤用
1240,20:40,長谷川 彩,71,女,退職,東京都23区,2440000,MUJI passport,日用品,無印良品 アロマオイル ラベンダー 10ml,1190,1,TVショッピング見て / リラックス
1150,19:10,松本 智也,35,男,販売員,神奈川県,2810000,メルカリ,ホビー,ポケモンカード SV6a スカーレットex 1BOX,7767,0,夕食後にカートを処理 / 再販分
1185,19:45,松本 智也,35,男,販売員,神奈川県,2810000,MUJI passport,アパレル,無印良品 オーガニックコットン Vネック 半袖T 白 M,1490,0,夕食後にカートを処理 / 夏定番
1215,20:15,松本 智也,35,男,販売員,神奈川県,2810000,メルカリ,アパレル,【美品】UNIQLO x JW Anderson コラボ ニット L,3814,0,夕食後にカートを処理 / 安心のリピート
1245,20:45,松本 智也,35,男,販売員,神奈川県,2810000,honto,電子書籍,hontoポイント 1000円分,1000,1,夜のリラックス中に / 安心のリピート
500,08:20,長谷川 蓮,72,男,パート,千葉県,2190000,Uniqlo online,アパレル,リネンブレンド オープンカラー シャツ 半袖 (オフホワイト L),3990,0,朝の準備中ふと / 週末カジュアル
965,16:05,長谷川 蓮,72,男,パート,千葉県,2190000,honto,電子書籍,hontoポイント 1000円分,1000,0,勤務中こっそり / 次回用ポイント購入
435,07:15,加藤 智子,38,女,教員,茨城県,6070000,Amazon,電化製品,Logicool MX Master 3S ワイヤレスマウス,15673,0,朝の準備中ふと / 新調
590,09:50,加藤 智子,38,女,教員,茨城県,6070000,iHerb,食品,California Gold ナッツミックス 907g,2797,0,勤務中こっそり / 安心のリピート
1080,18:00,加藤 智子,38,女,教員,茨城県,6070000,Amazon,電子書籍,Kindle 三体III 死神永生 上,1820,1,通勤中ふと思い出して / 話題のSF
1100,18:20,加藤 智子,38,女,教員,茨城県,6070000,楽天市場,化粧品,資生堂 マキアージュ ドラマティック ジェリー BB,3680,1,通勤中ふと思い出して / 安心のリピート
1155,19:15,加藤 智子,38,女,教員,茨城県,6070000,Uniqlo online,アパレル,ヒートテック クルーネックT 極暖 (グレー M),1990,0,夕食後にカートを処理 / 安心のリピート
1235,20:35,加藤 智子,38,女,教員,茨城県,6070000,楽天市場,食品,北海道産 ホタテ貝柱 1kg 訳あり,7473,1,夜のリラックス中に / ポイント10倍
1335,22:15,加藤 智子,38,女,教員,茨城県,6070000,Oisix,食品,Kit Oisix 牛肉と野菜のチンジャオロース 2人前,1580,1,夜のリラックス中に / 安心のリピート
1000,16:40,山口 莉子,76,女,退職,栃木県,2950000,iHerb,化粧品,Burt's Bees リップ バーム ハニー,631,1,午後のくつろぎ中に / リピート
1235,20:35,山口 莉子,76,女,退職,栃木県,2950000,honto,書籍,夜は短し歩けよ乙女 (角川文庫),770,1,TVショッピング見て / 再読
485,08:05,山田 雅人,73,男,パート,茨城県,1030000,Yahoo!ショッピング,日用品,除菌洗剤 業務用 4L,2853,0,朝の準備中ふと / PayPay祭
1170,19:30,山田 雅人,73,男,パート,茨城県,1030000,Yahoo!ショッピング,日用品,レノア 本格消臭 詰替 1320ml,930,0,夕食後にカートを処理 / PayPayキャンペーン
980,16:20,長谷川 智也,70,男,退職,千葉県,3200000,メルカリ,中古品,【動作確認済】Sony WH-1000XM4 黒 中古,21354,1,午後のくつろぎ中に / 新品より安い
1125,18:45,長谷川 智也,70,男,退職,千葉県,3200000,楽天市場,日用品,除菌できるウェットティッシュ 100枚 x 8パック,1613,0,夕食後にカートを処理 / ポイント10倍
400,06:40,森 孝雄,79,男,退職,東京都市部,2050000,MUJI passport,食品,無印良品 素材を生かしたカレー グリーン,350,0,朝の準備中ふと / ストック補充
1250,20:50,森 孝雄,79,男,退職,東京都市部,2050000,Amazon,電子書籍,Kindle 三体III 死神永生 上,1820,1,TVショッピング見て / 話題のSF
495,08:15,石川 大翔,58,男,飲食店,神奈川県,4550000,Yahoo!ショッピング,日用品,除菌洗剤 業務用 4L,2889,0,朝の準備中ふと / PayPay祭
1000,16:40,石川 大翔,58,男,飲食店,神奈川県,4550000,Yahoo!ショッピング,日用品,レノア 本格消臭 詰替 1320ml,910,0,勤務中こっそり / PayPayキャンペーン
1020,17:00,石川 大翔,58,男,飲食店,神奈川県,4550000,Amazon,サブスク,Amazon Prime 年会費 (1年),5900,0,勤務中こっそり / 年次自動更新
1210,20:10,石川 大翔,58,男,飲食店,神奈川県,4550000,楽天市場,食品,北海道産 ホタテ貝柱 1kg 訳あり,7663,0,夕食後にカートを処理 / ポイント10倍
1235,20:35,石川 大翔,58,男,飲食店,神奈川県,4550000,Amazon,電化製品,ELECOM USB-C ハブ 7-in-1 4K HDMI,5614,1,夜のリラックス中に / 在宅環境
485,08:05,石川 亮,65,男,パート,神奈川県,940000,Yahoo!ショッピング,日用品,レノア 本格消臭 詰替 1320ml,928,0,朝の準備中ふと / PayPayキャンペーン
1225,20:25,石川 亮,65,男,パート,神奈川県,940000,楽天市場,食品,讃岐うどん 半生 太麺 1kg,1394,0,夕食後にカートを処理 / 在庫補充
810,13:30,井上 千尋,49,女,工場勤務,群馬県,5010000,Amazon,日用品,アタック ZERO 抗菌プラス 詰替 720g,438,0,ランチ食べながら / ストック切れ
1110,18:30,井上 千尋,49,女,工場勤務,群馬県,5010000,Uniqlo online,アパレル,ヒートテック クルーネックT 極暖 (グレー M),1990,0,勤務中こっそり / 冬支度
1145,19:05,井上 千尋,49,女,工場勤務,群馬県,5010000,Uniqlo online,アパレル,ヒートテック クルーネックT 極暖 (グレー M),1990,0,夕食後にカートを処理 / 冬支度
1250,20:50,井上 千尋,49,女,工場勤務,群馬県,5010000,楽天市場,日用品,コストコ カークランド トイレットペーパー 30ロール,4128,1,夜のリラックス中に / まとめ買いお得
1275,21:15,井上 千尋,49,女,工場勤務,群馬県,5010000,Amazon,電子書籍,Kindle ハイキュー!! 文庫版 1-3巻セット,1980,1,夜のリラックス中に / 懐かしい
735,12:15,松本 彩花,35,女,会社員,東京都23区,3460000,ZOZOTOWN,シューズ,New Balance 327 グレー x ホワイト 24cm,12100,0,ランチ食べながら / 安心のリピート
980,16:20,松本 彩花,35,女,会社員,東京都23区,3460000,ZOZOTOWN,シューズ,CONVERSE All Star OX 黒 25cm,6600,0,勤務中こっそり / 定番補充
1080,18:00,松本 彩花,35,女,会社員,東京都23区,3460000,honto,書籍,THE THREE-BODY PROBLEM (English),2980,1,通勤中ふと思い出して / 安心のリピート
1190,19:50,松本 彩花,35,女,会社員,東京都23区,3460000,メルカリ,中古品,【動作確認済】Sony WH-1000XM4 黒 中古,19873,0,夕食後にカートを処理 / 新品より安い
1210,20:10,松本 彩花,35,女,会社員,東京都23区,3460000,Uniqlo online,アパレル,感動パンツ ウルトラライト ストレッチ ストレート (ブラック 32inch),3990,1,夜のリラックス中に / 通勤新調
630,10:30,佐々木 拓海,47,男,会社員,茨城県,4220000,Amazon,電子書籍,Kindle ハイキュー!! 文庫版 1-3巻セット,1980,0,勤務中こっそり / 懐かしい
1095,18:15,佐々木 拓海,47,男,会社員,茨城県,4220000,MUJI passport,家具,無印良品 ポリエステル 綿フランネル こたつ布団,9990,1,通勤中ふと思い出して / 冬支度
1140,19:00,佐々木 拓海,47,男,会社員,茨城県,4220000,MUJI passport,食品,無印良品 不揃いバウム メープル 5袋,1390,0,夕食後にカートを処理 / おやつストック
1165,19:25,佐々木 拓海,47,男,会社員,茨城県,4220000,honto,電子書籍,hontoポイント 1000円分,1000,0,夕食後にカートを処理 / 次回用ポイント購入
1210,20:10,佐々木 拓海,47,男,会社員,茨城県,4220000,メルカリ,ホビー,ポケモンカード SV6a スカーレットex 1BOX,8133,1,夜のリラックス中に / 再販分
560,09:20,小林 彩花,53,女,ITエンジニア,茨城県,9840000,MUJI passport,食品,無印良品 不揃いバウム メープル 5袋,1390,0,仕事の合間に / 安心のリピート
570,09:30,小林 彩花,53,女,ITエンジニア,茨城県,9840000,iHerb,サプリ,California Gold ビタミンC 1000mg 240粒,2228,0,仕事の合間に / 風邪予防
1080,18:00,小林 彩花,53,女,ITエンジニア,茨城県,9840000,楽天市場,食品,北海道産 ホタテ貝柱 1kg 訳あり,7129,0,夕食後にカートを処理 / ポイント10倍
1190,19:50,小林 彩花,53,女,ITエンジニア,茨城県,9840000,BUYMA,アパレル,【関税送料込】MM6 Maison Margiela ジャパニーズバッグ S,41402,1,夜のリラックス中に / 海外限定色
1220,20:20,小林 彩花,53,女,ITエンジニア,茨城県,9840000,iHerb,サプリ,マイプロテイン Impact ホエイ 1kg バニラ,4362,1,夜のリラックス中に / 筋トレ補給
1265,21:05,小林 彩花,53,女,ITエンジニア,茨城県,9840000,楽天市場,化粧品,ETUDE ティアアイライナー 限定色,1404,1,夜のリラックス中に / 新作
570,09:30,清水 杏,55,女,会社員,東京都23区,3450000,Uniqlo online,アパレル,リネンブレンド オープンカラー シャツ 半袖 (オフホワイト L),3990,0,勤務中こっそり / 週末カジュアル
900,15:00,清水 杏,55,女,会社員,東京都23区,3450000,Uniqlo online,アパレル,感動パンツ ウルトラライト ストレッチ ストレート (ブラック 32inch),3990,0,勤務中こっそり / 通勤新調
1130,18:50,清水 杏,55,女,会社員,東京都23区,3450000,Amazon,日用品,エリエール 消臭+ トイレットペーパー 12ロール ダブル,627,0,夕食後にカートを処理 / ストック切れ
1225,20:25,清水 杏,55,女,会社員,東京都23区,3450000,honto,電子書籍,hontoポイント 1000円分,1000,1,夜のリラックス中に / 次回用ポイント購入
535,08:55,前田 蓮,53,男,工場勤務,埼玉県,6450000,Yahoo!ショッピング,日用品,除菌洗剤 業務用 4L,2755,0,勤務中こっそり / 安心のリピート
585,09:45,前田 蓮,53,男,工場勤務,埼玉県,6450000,MUJI passport,アパレル,無印良品 縦横ストレッチ 細身パンツ 黒 32inch,3990,0,勤務中こっそり / 安心のリピート
880,14:40,前田 蓮,53,男,工場勤務,埼玉県,6450000,楽天市場,食品,台湾カステラ 6個セット,2819,0,勤務中こっそり / 安心のリピート
1200,20:00,前田 蓮,53,男,工場勤務,埼玉県,6450000,MUJI passport,食品,無印良品 素材を生かしたカレー グリーン,350,0,夕食後にカートを処理 / ストック補充
1265,21:05,前田 蓮,53,男,工場勤務,埼玉県,6450000,Uniqlo online,アパレル,エアリズム コットン クルーネックT 半袖 (ネイビー L),1290,1,夜のリラックス中に / 夏前リピート
390,06:30,後藤 芽依,77,女,退職,千葉県,1900000,Amazon,コーヒー,UCC ザ ブレンド 114 レギュラーコーヒー 360g x 6,4671,0,朝の準備中ふと / 在宅用ストック
795,13:15,後藤 芽依,77,女,退職,千葉県,1900000,楽天市場,化粧品,ETUDE ティアアイライナー 限定色,1596,1,お昼のひと息に / 新作
465,07:45,中村 杏,40,女,会社員,東京都23区,4170000,Uniqlo online,アパレル,感動パンツ ウルトラライト ストレッチ ストレート (ブラック 32inch),3990,1,通勤中ふと思い出して / 通勤新調
1140,19:00,中村 杏,40,女,会社員,東京都23区,4170000,Amazon,食品,KIRIN 自然が磨いた天然水 2L x 9本,1380,0,夕食後にカートを処理 / 備蓄
1235,20:35,中村 杏,40,女,会社員,東京都23区,4170000,楽天市場,化粧品,資生堂 マキアージュ ドラマティック ジェリー BB,3305,1,夜のリラックス中に / ポイント祭
1245,20:45,中村 杏,40,女,会社員,東京都23区,4170000,Amazon,日用品,Mr.CLEAN マジックリン キッチン用 400ml,314,1,夜のリラックス中に / 切らしそう
1280,21:20,中村 杏,40,女,会社員,東京都23区,4170000,iHerb,化粧品,Burt's Bees リップ バーム ハニー,601,1,夜のリラックス中に / リピート
600,10:00,山本 拓海,41,男,販売員,神奈川県,3780000,Amazon,電化製品,ELECOM USB-C ハブ 7-in-1 4K HDMI,5643,0,勤務中こっそり / 在宅環境
950,15:50,山本 拓海,41,男,販売員,神奈川県,3780000,Amazon,食品,KIRIN 自然が磨いた天然水 2L x 9本,1380,0,勤務中こっそり / 備蓄
1150,19:10,山本 拓海,41,男,販売員,神奈川県,3780000,Amazon,コーヒー,UCC ザ ブレンド 114 レギュラーコーヒー 360g x 6,4705,0,夕食後にカートを処理 / 在宅用ストック
